TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1581024375.89083,ethernet,eth2,12,12,12,12,12
1581024375.89083,ethernet,eth3,0,0,0,0,0
1581024977.857801,ethernet,eth0,18671,15360,69228,22466,67546
1581024977.857801,ethernet,eth0-vip,0,0,0,0,0
1581024977.857801,ethernet,eth1,26992,575879,79752,54285,90390
1581024977.857801,ethernet,eth1-vip,0,0,0,0,0
1581024977.857801,ethernet,eth2,13,12,12,12,12
1581024977.857801,ethernet,eth3,0,0,0,0,0
1581025578.419882,ethernet,eth0,20043,13544,13423,32271,67546
1581025578.419882,ethernet,eth0-vip,0,0,0,0,0
1581025578.419882,ethernet,eth1,23439,21432,22682,53964,90390
1581025578.419882,ethernet,eth1-vip,0,0,0,0,0
1581025578.419882,ethernet,eth2,13,12,12,12,12
1581025578.419882,ethernet,eth3,0,0,0,0,0
1581026178.957623,ethernet,eth0,7965,10345,12832,32965,67546
1581026178.957623,ethernet,eth0-vip,0,0,0,0,0
1581026178.957623,ethernet,eth1,23934,23157,20772,53226,90390
1581026178.957623,ethernet,eth1-vip,0,0,0,0,0
1581026178.957623,ethernet,eth2,12,12,12,12,12
1581026178.957623,ethernet,eth3,0,0,0,0,0
1581026779.49265,ethernet,eth0,27650,18048,14619,24022,67189
1581026779.49265,ethernet,eth0-vip,0,0,0,0,0
1581026779.49265,ethernet,eth1,24589,23928,78597,42735,90077
1581026779.49265,ethernet,eth1-vip,0,0,0,0,0
1581026779.49265,ethernet,eth2,12,12,12,12,12
1581026779.49265,ethernet,eth3,0,0,0,0,0
1581027380.041888,ethernet,eth0,23957,15377,70316,24166,67189
1581027380.041888,ethernet,eth0-vip,0,0,0,0,0
1581027380.041888,ethernet,eth1,19790,20672,21669,51102,90077
1581027380.041888,ethernet,eth1-vip,0,0,0,0,0
1581027380.041888,ethernet,eth2,13,12,12,12,12
1581027380.041888,ethernet,eth3,0,0,0,0,0
1581027980.567452,ethernet,eth0,12271,12222,15591,33128,67189
1581027980.567452,ethernet,eth0-vip,0,0,0,0,0
1581027980.567452,ethernet,eth1,22953,23346,21896,41131,90077
1581027980.567452,ethernet,eth1-vip,0,0,0,0,0
1581027980.567452,ethernet,eth2,12,12,12,12,12
1581027980.567452,ethernet,eth3,0,0,0,0,0
1581028581.042088,ethernet,eth0,5888,11056,10820,32392,67189
1581028581.042088,ethernet,eth0-vip,0,0,0,0,0
1581028581.042088,ethernet,eth1,17469,18246,75634,49980,90077
1581028581.042088,ethernet,eth1-vip,0,0,0,0,0
1581028581.042088,ethernet,eth2,12,12,12,12,12
1581028581.042088,ethernet,eth3,0,0,0,0,0
1581029181.572544,ethernet,eth0,4277,5506,10479,22774,67189
1581029181.572544,ethernet,eth0-vip,0,0,0,0,0
1581029181.572544,ethernet,eth1,16541,16963,17317,39938,90077
1581029181.572544,ethernet,eth1-vip,0,0,0,0,0
1581029181.572544,ethernet,eth2,12,12,12,12,12
1581029181.572544,ethernet,eth3,0,0,0,0,0
1581029782.123162,ethernet,eth0,5878,5821,6711,22149,67189
1581029782.123162,ethernet,eth0-vip,0,0,0,0,0
1581029782.123162,ethernet,eth1,19345,18644,18172,39095,90077
1581029782.123162,ethernet,eth1-vip,0,0,0,0,0
1581029782.123162,ethernet,eth2,12,12,12,12,12
1581029782.123162,ethernet,eth3,0,0,0,0,0
1581030382.595444,ethernet,eth0,6586,6070,63126,21112,67169
1581030382.595444,ethernet,eth0-vip,0,0,0,0,0
1581030382.595444,ethernet,eth1,18210,18499,74458,47857,90967
1581030382.595444,ethernet,eth1-vip,0,0,0,0,0
1581030382.595444,ethernet,eth2,12,12,12,12,12
1581030382.595444,ethernet,eth3,0,0,0,0,0
